station,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,dewpoint_2m_min,dewpoint_2m_max,dewpoint_2m_mean
海南_临高,2019-01-01,15.4,11.9,13.5,0.0,0.0,0.0,17.5,34.6,24,5.76,1.46,8.7,10.2,9.7
海南_临高,2019-01-02,16.2,12.5,14.4,0.1,0.1,1.0,18.4,36.4,26,6.96,1.7,9.1,11.6,10.3
海南_临高,2019-01-03,18.2,14.6,16.3,0.5,0.5,5.0,17.2,33.5,41,4.86,1.24,11.6,15.6,13.5
海南_临高,2019-01-04,22.6,17.8,20.0,1.7,1.7,11.0,22.6,45.0,59,5.01,1.13,15.9,19.6,18.3
海南_临高,2019-01-05,25.1,20.0,21.5,2.1,2.1,10.0,16.5,34.9,64,9.66,1.83,19.2,20.6,20.0
海南_临高,2019-01-06,22.6,18.9,20.4,1.1,1.1,9.0,20.0,41.8,70,8.14,1.55,17.8,19.4,18.6
海南_临高,2019-01-07,24.5,19.0,21.5,0.1,0.1,1.0,20.2,41.4,87,10.8,2.02,17.8,20.5,19.4
海南_临高,2019-01-08,23.9,19.4,21.3,0.7,0.7,6.0,23.5,47.2,79,11.39,2.12,18.1,20.2,19.3
海南_临高,2019-01-09,24.5,19.5,21.4,1.0,1.0,7.0,26.0,50.8,84,9.08,2.05,17.6,19.7,18.6
海南_临高,2019-01-10,25.2,20.0,22.0,2.3,2.3,11.0,18.2,37.1,82,12.32,2.28,19.5,21.4,20.1
海南_临高,2019-01-11,26.9,20.3,22.5,0.8,0.8,6.0,16.3,33.8,82,13.32,2.55,19.4,21.2,20.3
海南_临高,2019-01-12,24.4,20.0,21.6,7.3,7.3,16.0,19.3,38.9,76,10.98,2.01,19.4,21.1,20.0
海南_临高,2019-01-13,24.5,19.4,21.1,0.4,0.4,2.0,18.5,38.2,83,11.95,2.21,18.5,19.4,19.1
海南_临高,2019-01-14,24.4,19.1,21.1,0.1,0.1,1.0,23.1,46.4,83,14.94,2.65,18.0,19.5,18.9
海南_临高,2019-01-15,23.4,18.5,20.4,0.7,0.7,5.0,23.2,47.9,77,14.22,2.55,17.2,18.5,18.0
海南_临高,2019-01-16,20.5,16.4,18.3,0.7,0.7,4.0,21.2,41.8,48,6.82,1.81,11.8,18.0,14.8
海南_临高,2019-01-17,18.9,15.9,17.0,0.6,0.6,5.0,19.9,40.7,49,6.75,1.75,11.9,13.9,13.1
海南_临高,2019-01-18,21.1,16.8,18.6,0.0,0.0,0.0,21.9,42.8,74,9.94,2.14,12.9,16.4,14.8
海南_临高,2019-01-19,24.1,16.8,20.3,0.5,0.5,4.0,21.9,45.0,80,13.16,2.36,16.0,19.3,18.2
海南_临高,2019-01-20,24.3,19.1,21.1,0.6,0.6,6.0,19.5,40.3,70,12.69,2.34,18.2,19.5,18.9
海南_临高,2019-01-21,20.7,16.6,18.4,0.4,0.4,3.0,22.3,45.0,49,9.79,2.2,11.1,18.5,14.5
海南_临高,2019-01-22,19.3,14.4,16.6,0.0,0.0,0.0,16.5,33.5,43,10.62,2.29,10.6,12.8,11.8
海南_临高,2019-01-23,21.4,11.7,16.6,0.0,0.0,0.0,16.8,34.2,93,16.35,2.96,10.3,13.8,12.1
海南_临高,2019-01-24,24.0,14.1,18.5,0.0,0.0,0.0,19.5,39.6,96,16.8,3.23,12.4,15.8,14.0
海南_临高,2019-01-25,24.0,14.9,19.2,0.0,0.0,0.0,17.1,37.4,85,16.14,2.96,13.8,17.8,15.8
海南_临高,2019-01-26,23.2,15.1,18.8,0.0,0.0,0.0,23.5,48.6,75,17.65,3.15,13.6,17.1,15.4
海南_临高,2019-01-27,22.9,16.2,18.9,0.0,0.0,0.0,27.0,52.9,86,14.58,2.78,13.4,16.1,15.2
海南_临高,2019-01-28,23.8,16.0,20.0,0.7,0.7,3.0,19.4,40.0,96,13.6,2.68,15.4,18.3,16.9
海南_临高,2019-01-29,26.0,17.8,21.6,0.0,0.0,0.0,21.4,42.5,115,13.95,3.41,14.6,18.0,16.6
海南_临高,2019-01-30,26.9,17.7,21.7,0.0,0.0,0.0,19.8,41.4,118,16.11,3.57,14.2,17.7,16.4
海南_临高,2019-01-31,26.2,17.2,20.8,0.0,0.0,0.0,14.3,33.1,82,17.11,3.34,14.4,18.6,17.3
海南_临高,2019-02-01,23.7,17.0,19.9,0.0,0.0,0.0,23.7,49.3,73,17.54,3.19,15.9,17.5,16.7
海南_临高,2019-02-02,26.8,16.2,21.5,0.0,0.0,0.0,14.8,31.0,108,13.77,2.86,16.1,19.9,18.0
海南_临高,2019-02-03,27.2,17.4,22.1,0.0,0.0,0.0,11.8,27.4,67,18.31,3.51,16.8,20.4,18.8
海南_临高,2019-02-04,27.8,19.8,23.3,1.3,1.3,5.0,14.3,29.9,94,14.7,2.96,19.0,21.0,20.2
海南_临高,2019-02-05,28.4,20.2,23.5,0.0,0.0,0.0,14.4,31.7,75,16.59,3.33,18.5,21.0,19.9
海南_临高,2019-02-06,31.8,19.5,23.4,0.0,0.0,0.0,14.0,32.0,166,19.61,4.13,15.4,20.3,18.9
海南_临高,2019-02-07,31.5,18.6,24.2,0.0,0.0,0.0,12.9,30.6,102,19.86,4.2,17.1,20.4,18.2
海南_临高,2019-02-08,34.0,19.8,25.5,0.0,0.0,0.0,14.2,29.9,125,19.64,4.26,18.8,21.1,20.1
海南_临高,2019-02-09,33.0,20.0,25.8,0.0,0.0,0.0,21.4,43.9,129,19.92,4.79,18.2,21.0,19.9
海南_临高,2019-02-10,29.7,21.8,25.3,0.1,0.1,1.0,19.5,38.9,120,14.81,3.87,18.1,21.1,19.8
海南_临高,2019-02-11,27.4,20.9,23.0,1.1,1.1,3.0,25.0,50.4,86,14.66,3.05,19.0,20.5,19.8
海南_临高,2019-02-12,26.0,20.5,22.5,0.4,0.4,3.0,25.1,50.4,79,14.82,2.95,18.0,19.9,19.4
海南_临高,2019-02-13,26.8,20.0,22.9,0.3,0.3,2.0,21.7,42.8,90,13.49,2.86,18.1,20.6,19.6
