station,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,dewpoint_2m_min,dewpoint_2m_max,dewpoint_2m_mean
海南_乐东,2019-01-01,21.2,13.8,16.5,0.0,0.0,0.0,20.0,40.0,52,13.59,2.84,10.1,13.1,11.1
海南_乐东,2019-01-02,20.8,14.8,17.1,0.0,0.0,0.0,17.3,34.2,51,12.26,2.62,10.6,13.1,11.7
海南_乐东,2019-01-03,23.2,15.6,18.9,0.3,0.3,2.0,15.0,31.0,37,9.62,2.26,11.6,16.2,14.2
海南_乐东,2019-01-04,27.5,17.5,22.1,2.3,2.3,7.0,11.3,25.6,42,11.97,2.44,15.7,21.0,18.6
海南_乐东,2019-01-05,28.0,17.7,22.3,0.2,0.2,2.0,15.5,29.2,335,13.25,2.67,17.4,21.1,19.4
海南_乐东,2019-01-06,27.5,17.0,22.3,0.3,0.3,3.0,11.0,20.9,5,12.5,2.54,16.8,21.1,19.0
海南_乐东,2019-01-07,28.6,18.1,23.1,0.3,0.3,2.0,8.3,17.6,69,15.83,3.14,16.8,20.8,18.6
海南_乐东,2019-01-08,28.2,16.9,22.3,0.0,0.0,0.0,12.8,26.3,69,14.8,3.11,16.0,20.0,17.4
海南_乐东,2019-01-09,29.0,17.6,22.4,0.0,0.0,0.0,14.3,30.2,68,17.04,3.55,16.4,18.4,17.3
海南_乐东,2019-01-10,29.1,16.8,22.4,0.0,0.0,0.0,9.8,22.0,62,15.58,3.29,16.1,19.1,17.5
海南_乐东,2019-01-11,27.8,17.4,22.1,0.8,0.8,4.0,10.3,23.0,326,15.7,3.08,16.6,20.8,18.4
海南_乐东,2019-01-12,27.2,19.2,22.9,0.4,0.4,3.0,13.7,26.6,200,15.9,3.12,16.5,20.6,19.2
海南_乐东,2019-01-13,28.1,18.4,22.1,0.5,0.5,2.0,18.6,38.9,67,13.81,2.81,16.9,19.9,18.6
