station,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,dewpoint_2m_min,dewpoint_2m_max,dewpoint_2m_mean
海南_儋州,2019-01-01,13.7,11.4,12.5,1.3,1.3,4.0,14.0,25.6,31,4.27,0.9,9.6,11.4,10.3
海南_儋州,2019-01-02,14.4,10.8,12.9,0.6,0.6,5.0,14.7,27.0,34,5.39,1.0,9.8,12.1,10.8
海南_儋州,2019-01-03,17.7,13.4,15.4,0.6,0.6,6.0,14.8,28.1,54,4.43,0.89,12.2,15.2,13.8
海南_儋州,2019-01-04,22.7,16.1,19.1,2.6,2.6,18.0,13.7,24.8,64,4.56,0.92,15.3,20.8,18.3
海南_儋州,2019-01-05,25.4,20.1,21.8,2.0,2.0,15.0,13.1,26.6,74,10.09,1.87,20.0,22.0,20.7
海南_儋州,2019-01-06,23.4,19.0,20.8,2.4,2.4,14.0,16.4,30.2,84,8.58,1.7,18.6,20.0,19.2
海南_儋州,2019-01-07,25.6,19.1,21.7,0.3,0.3,3.0,18.3,33.5,109,10.14,2.2,18.4,20.0,19.1
海南_儋州,2019-01-08,25.8,19.6,21.8,0.4,0.4,3.0,21.4,37.8,105,11.71,2.5,17.8,19.9,19.1
海南_儋州,2019-01-09,24.9,18.5,20.9,0.5,0.5,4.0,26.8,48.2,101,11.13,2.26,17.8,19.5,18.5
海南_儋州,2019-01-10,26.2,19.4,22.2,5.7,5.7,10.0,17.5,34.2,115,13.9,2.67,19.1,20.5,19.9
海南_儋州,2019-01-11,27.1,19.0,22.7,0.7,0.7,3.0,13.1,24.5,98,14.36,2.86,18.5,20.6,19.6
海南_儋州,2019-01-12,27.0,20.0,22.5,0.9,0.9,7.0,17.4,31.7,105,14.84,2.97,17.1,20.6,19.3
海南_儋州,2019-01-13,25.0,19.2,21.4,0.3,0.3,2.0,14.3,28.8,105,10.09,2.16,17.6,19.4,18.6
海南_儋州,2019-01-14,25.4,18.9,21.5,0.1,0.1,1.0,18.1,35.3,105,13.43,2.79,16.7,19.0,18.1
海南_儋州,2019-01-15,24.5,17.8,20.6,0.5,0.5,3.0,19.5,36.7,80,12.19,2.49,16.4,18.2,17.6
海南_儋州,2019-01-16,19.5,15.9,17.9,1.4,1.4,7.0,17.4,33.5,53,5.48,1.26,14.1,17.5,15.8
海南_儋州,2019-01-17,18.3,15.1,16.3,1.2,1.2,10.0,19.2,36.0,53,5.3,1.24,12.8,14.3,13.5
海南_儋州,2019-01-18,22.1,15.2,18.0,0.1,0.1,1.0,17.8,33.5,90,8.76,1.91,12.9,16.0,14.6
海南_儋州,2019-01-19,25.4,16.5,20.2,0.2,0.2,2.0,15.9,31.3,107,10.76,2.29,15.6,18.5,17.1
