station,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,dewpoint_2m_min,dewpoint_2m_max,dewpoint_2m_mean
海南_定安,2019-01-01,15.7,14.6,15.2,0.1,0.1,1.0,20.8,40.0,24,4.08,1.35,11.1,12.9,11.7
海南_定安,2019-01-02,16.4,13.4,15.4,1.5,1.5,11.0,19.6,38.5,14,4.57,1.14,11.8,13.9,12.8
海南_定安,2019-01-03,18.6,15.6,17.1,1.5,1.5,6.0,19.4,37.4,33,3.75,0.99,13.9,17.1,14.9
海南_定安,2019-01-04,24.6,18.6,21.1,5.4,5.4,21.0,16.3,29.5,48,6.38,1.23,17.4,22.0,20.1
海南_定安,2019-01-05,25.5,20.2,22.2,1.6,1.6,8.0,14.5,29.2,50,8.09,1.63,19.6,21.2,20.6
海南_定安,2019-01-06,23.8,19.1,21.1,0.6,0.6,6.0,16.2,32.4,58,7.03,1.52,18.0,19.5,19.0
海南_定安,2019-01-07,25.7,19.2,22.1,0.4,0.4,4.0,14.4,28.1,81,8.55,1.84,18.5,20.5,19.7
海南_定安,2019-01-08,25.2,19.8,22.0,1.2,1.2,9.0,19.0,36.4,73,10.81,2.22,18.4,20.4,19.6
海南_定安,2019-01-09,24.0,19.3,21.5,0.9,0.9,6.0,21.3,40.0,80,9.63,2.04,18.0,19.6,18.9
海南_定安,2019-01-10,25.5,20.6,22.3,2.3,2.3,8.0,16.3,31.7,89,8.65,1.74,19.6,21.5,20.5
海南_定安,2019-01-11,26.4,20.6,22.8,3.6,3.6,14.0,10.9,23.4,75,11.96,2.28,20.4,21.6,21.1
海南_定安,2019-01-12,26.4,19.2,22.4,2.2,2.2,12.0,12.7,28.1,73,11.46,2.28,18.9,21.3,20.4
海南_定安,2019-01-13,25.7,19.8,21.9,0.1,0.1,1.0,14.7,29.2,68,11.73,2.4,18.1,19.8,19.2
海南_定安,2019-01-14,25.5,19.1,21.5,0.2,0.2,2.0,17.2,32.4,72,13.23,2.63,17.4,19.5,18.7
海南_定安,2019-01-15,24.4,18.4,20.8,1.5,1.5,8.0,20.4,39.6,53,13.54,2.56,17.7,19.0,18.2
海南_定安,2019-01-16,20.4,17.5,18.7,0.6,0.6,5.0,21.4,43.6,34,7.2,1.72,14.1,18.2,15.8
海南_定安,2019-01-17,19.5,17.0,17.8,0.2,0.2,2.0,22.1,41.0,36,7.72,1.79,13.5,14.8,14.2
海南_定安,2019-01-18,22.5,17.0,19.1,0.3,0.3,3.0,18.4,36.7,59,9.47,2.07,14.1,16.7,15.3
海南_定安,2019-01-19,25.0,18.0,21.2,1.5,1.5,7.0,16.3,32.8,67,12.22,2.4,17.1,19.2,18.6
海南_定安,2019-01-20,24.0,20.0,21.4,1.4,1.4,7.0,17.6,34.2,49,9.61,1.82,18.4,20.8,19.5
海南_定安,2019-01-21,20.4,17.5,18.9,0.3,0.3,3.0,20.7,41.0,34,8.89,2.08,12.6,18.3,15.1
海南_定安,2019-01-22,20.0,13.2,17.1,0.0,0.0,0.0,17.7,34.6,25,11.7,2.38,11.4,13.8,12.5
海南_定安,2019-01-23,23.0,11.1,17.0,0.0,0.0,0.0,13.0,24.8,60,17.24,3.17,10.7,13.5,12.2
海南_定安,2019-01-24,23.6,13.5,18.2,0.0,0.0,0.0,13.8,26.3,91,14.23,2.77,12.7,14.9,13.8
海南_定安,2019-01-25,24.9,13.6,19.2,0.0,0.0,0.0,15.8,31.7,53,14.59,2.82,13.2,18.0,15.6
海南_定安,2019-01-26,23.5,14.2,18.7,0.2,0.2,2.0,18.2,37.8,49,16.27,3.03,13.9,17.1,15.3
海南_定安,2019-01-27,23.0,15.8,19.0,0.2,0.2,2.0,21.3,41.4,67,10.76,2.34,13.5,15.9,15.1
海南_定安,2019-01-28,23.1,16.4,19.8,0.7,0.7,4.0,15.9,31.3,75,9.71,1.93,15.8,18.2,17.2
海南_定安,2019-01-29,25.1,17.4,20.9,0.0,0.0,0.0,18.3,37.1,108,14.7,3.0,15.4,18.4,17.0
海南_定安,2019-01-30,25.8,17.8,21.1,0.0,0.0,0.0,16.7,34.6,116,15.14,3.15,15.0,18.3,16.9
海南_定安,2019-01-31,26.0,16.6,20.4,0.2,0.2,2.0,16.2,33.5,43,14.21,2.73,16.5,19.2,17.9
海南_定安,2019-02-01,24.0,16.9,20.2,0.1,0.1,1.0,18.2,38.5,60,15.97,3.07,16.4,18.4,17.1
海南_定安,2019-02-02,25.7,18.4,21.8,2.7,2.7,9.0,14.1,29.5,124,12.57,2.62,17.8,19.6,18.6
海南_定安,2019-02-03,28.6,18.2,22.8,0.2,0.2,2.0,12.3,27.0,154,15.57,3.12,17.1,20.8,19.2
海南_定安,2019-02-04,26.8,19.6,22.9,2.5,2.5,7.0,14.8,29.2,123,13.08,2.64,19.6,21.5,20.5
海南_定安,2019-02-05,28.4,21.0,23.9,0.0,0.0,0.0,15.9,31.7,160,14.79,3.09,19.4,21.4,20.7
海南_定安,2019-02-06,28.7,20.4,23.9,0.0,0.0,0.0,19.4,38.9,164,19.04,4.06,18.9,21.1,20.0
海南_定安,2019-02-07,30.9,20.8,24.8,0.0,0.0,0.0,19.1,37.1,169,19.7,4.2,19.6,23.0,20.9
海南_定安,2019-02-08,30.7,21.5,25.0,0.0,0.0,0.0,21.3,40.3,163,19.71,4.26,20.5,22.1,21.4
海南_定安,2019-02-09,29.8,21.9,24.9,0.0,0.0,0.0,21.7,42.5,155,19.89,4.29,20.5,21.4,20.9
海南_定安,2019-02-10,27.9,21.5,24.2,0.5,0.5,4.0,18.4,37.4,128,14.68,3.26,18.9,21.8,20.3
海南_定安,2019-02-11,27.3,20.6,23.1,0.4,0.4,3.0,19.5,38.2,98,14.51,3.16,18.1,21.0,19.6
海南_定安,2019-02-12,26.8,20.2,22.7,0.5,0.5,5.0,18.1,36.7,94,13.87,3.02,18.0,19.9,19.2
海南_定安,2019-02-13,28.1,20.2,23.1,0.3,0.3,2.0,15.7,31.7,104,14.88,3.23,17.2,20.2,19.3
海南_定安,2019-02-14,27.6,19.8,22.8,0.1,0.1,1.0,16.1,32.4,117,15.59,3.31,16.7,20.0,19.0
海南_定安,2019-02-15,28.3,19.5,23.5,0.9,0.9,4.0,14.5,28.4,132,14.93,3.22,18.9,20.9,20.0
海南_定安,2019-02-16,29.8,20.5,24.1,0.0,0.0,0.0,16.6,30.2,145,18.09,3.86,18.2,21.4,20.2
海南_定安,2019-02-17,28.0,21.4,24.0,0.6,0.6,5.0,19.1,41.8,133,14.85,3.36,18.6,21.0,20.3
海南_定安,2019-02-18,29.0,22.4,24.5,10.1,10.1,8.0,28.9,55.8,164,13.29,3.03,20.4,21.9,21.1
海南_定安,2019-02-19,31.0,22.5,25.9,0.7,0.7,3.0,21.6,43.2,171,18.63,4.16,21.1,22.5,21.9
海南_定安,2019-02-20,31.1,22.5,25.8,0.0,0.0,0.0,21.3,42.5,164,20.37,4.54,20.5,23.0,21.6
