station,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,dewpoint_2m_min,dewpoint_2m_max,dewpoint_2m_mean
海南_琼中,2019-01-01,13.5,11.6,12.5,1.7,1.7,15.0,14.3,29.5,348,4.4,0.79,10.1,11.4,11.0
海南_琼中,2019-01-02,13.8,11.4,12.7,1.1,1.1,10.0,13.1,27.7,338,5.09,0.85,10.4,11.9,11.2
海南_琼中,2019-01-03,17.2,13.2,15.2,1.6,1.6,15.0,11.3,23.0,344,4.1,0.79,12.1,15.4,14.1
海南_琼中,2019-01-04,21.8,15.9,19.1,4.5,4.5,21.0,6.9,15.8,348,4.24,0.89,15.1,20.0,18.0
海南_琼中,2019-01-05,23.9,19.5,21.1,3.3,3.3,20.0,8.4,20.2,74,9.44,1.74,19.4,22.0,20.3
海南_琼中,2019-01-06,22.2,19.1,20.5,4.2,4.2,21.0,9.5,21.2,61,5.56,1.12,18.6,20.2,19.4
海南_琼中,2019-01-07,25.0,19.1,21.2,2.4,2.4,14.0,11.7,24.1,116,11.11,2.15,18.5,20.1,19.2
海南_琼中,2019-01-08,24.5,19.2,21.0,2.8,2.8,20.0,15.4,31.0,88,11.56,2.2,18.4,19.8,19.1
海南_琼中,2019-01-09,22.6,18.6,20.2,5.9,5.9,24.0,15.0,29.9,86,9.95,1.75,18.2,19.5,18.9
海南_琼中,2019-01-10,25.0,18.5,21.2,1.4,1.4,12.0,10.2,21.6,128,11.94,2.23,18.2,20.5,19.4
海南_琼中,2019-01-11,26.0,18.2,21.6,0.5,0.5,4.0,8.0,17.6,130,13.71,2.61,17.6,20.4,19.2
海南_琼中,2019-01-12,25.6,19.0,21.5,0.9,0.9,4.0,11.2,21.2,110,13.02,2.49,17.2,20.3,19.1
海南_琼中,2019-01-13,24.0,18.5,20.6,0.4,0.4,3.0,10.8,25.2,89,11.13,2.09,17.0,19.4,18.3
海南_琼中,2019-01-14,23.6,18.5,20.3,1.7,1.7,8.0,11.9,23.4,90,11.55,2.15,17.4,18.8,18.1
海南_琼中,2019-01-15,23.7,17.8,20.2,2.7,2.7,16.0,13.0,27.4,44,12.4,2.34,16.7,18.5,17.7
海南_琼中,2019-01-16,19.1,15.5,17.7,1.2,1.2,11.0,15.4,30.2,15,4.95,1.0,13.9,17.4,16.3
海南_琼中,2019-01-17,17.9,15.1,16.0,1.8,1.8,15.0,15.4,31.7,18,4.89,0.99,13.6,15.1,14.1
海南_琼中,2019-01-18,20.8,14.9,17.0,1.4,1.4,10.0,11.6,23.4,47,5.27,1.13,13.5,16.2,14.7
海南_琼中,2019-01-19,23.9,14.4,19.2,2.2,2.2,12.0,9.0,20.9,61,10.68,2.0,13.6,18.8,17.1
海南_琼中,2019-01-20,24.0,19.0,20.3,4.6,4.6,20.0,14.4,29.9,18,10.49,1.88,18.5,21.1,19.1
海南_琼中,2019-01-21,19.1,15.1,17.4,8.6,8.6,17.0,17.7,35.3,21,6.88,1.23,12.9,18.4,15.7
海南_琼中,2019-01-22,18.5,12.6,15.5,0.0,0.0,0.0,12.0,25.2,4,7.77,1.46,11.6,13.6,12.7
海南_琼中,2019-01-23,20.1,9.6,14.9,0.0,0.0,0.0,7.4,18.0,343,15.39,2.56,8.8,14.6,12.0
海南_琼中,2019-01-24,21.0,11.9,16.5,0.0,0.0,0.0,7.9,19.1,161,12.2,2.13,10.6,15.5,13.3
海南_琼中,2019-01-25,22.9,11.6,17.6,0.2,0.2,1.0,10.0,22.0,5,15.87,2.83,10.7,16.9,14.4
海南_琼中,2019-01-26,21.8,13.2,17.1,0.2,0.2,2.0,15.0,31.0,29,15.59,2.73,12.1,15.6,14.1
海南_琼中,2019-01-27,21.1,14.5,17.4,0.6,0.6,6.0,13.9,29.2,57,11.85,2.15,14.1,15.7,15.0
海南_琼中,2019-01-28,21.6,17.1,18.7,2.8,2.8,16.0,10.4,23.4,67,8.68,1.64,15.8,17.5,16.8
海南_琼中,2019-01-29,23.0,15.9,19.1,1.6,1.6,11.0,17.1,34.6,130,14.69,2.67,15.0,17.8,16.4
海南_琼中,2019-01-30,23.8,14.1,18.7,0.1,0.1,1.0,14.3,29.9,160,13.95,2.62,14.0,17.3,15.8
海南_琼中,2019-01-31,23.9,15.4,19.2,0.0,0.0,0.0,11.4,24.1,353,17.28,3.14,15.2,17.5,16.3
海南_琼中,2019-02-01,22.8,13.7,18.0,0.7,0.7,5.0,13.4,27.0,48,12.07,2.17,13.7,17.3,15.9
海南_琼中,2019-02-02,24.6,17.1,20.1,0.2,0.2,2.0,11.8,23.8,146,12.96,2.46,16.9,18.4,17.7
海南_琼中,2019-02-03,27.4,15.4,21.1,0.0,0.0,0.0,11.3,24.1,173,17.24,3.35,15.1,20.3,17.8
海南_琼中,2019-02-04,27.1,18.0,21.8,0.1,0.1,1.0,11.2,22.0,163,13.66,2.71,17.8,20.4,19.0
海南_琼中,2019-02-05,26.6,19.4,22.1,0.2,0.2,2.0,12.7,28.4,162,14.35,2.86,18.5,19.6,19.1
海南_琼中,2019-02-06,27.0,17.6,21.4,0.0,0.0,0.0,14.8,29.5,174,19.87,3.79,17.5,18.7,18.1
海南_琼中,2019-02-07,30.4,17.5,22.9,0.0,0.0,0.0,14.9,28.8,176,20.15,4.04,16.7,22.0,19.4
海南_琼中,2019-02-08,29.7,17.6,23.1,0.0,0.0,0.0,16.3,31.7,177,20.38,4.04,17.1,21.5,19.9
海南_琼中,2019-02-09,29.0,18.4,23.1,0.0,0.0,0.0,17.5,34.2,165,20.48,4.04,17.6,20.3,19.5
海南_琼中,2019-02-10,27.0,20.4,22.7,0.0,0.0,0.0,16.0,32.0,139,15.93,3.17,18.7,20.5,19.8
海南_琼中,2019-02-11,26.1,19.0,21.8,0.6,0.6,5.0,14.8,29.9,118,16.78,3.23,16.5,20.0,18.6
海南_琼中,2019-02-12,24.7,18.1,21.0,2.6,2.6,13.0,13.4,27.7,122,11.53,2.3,17.8,19.4,18.6
海南_琼中,2019-02-13,25.6,17.7,20.7,0.8,0.8,4.0,11.7,23.4,147,13.6,2.68,16.8,18.9,18.0
海南_琼中,2019-02-14,26.7,17.8,21.4,0.2,0.2,2.0,12.1,25.9,143,17.98,3.53,15.6,19.0,17.7
海南_琼中,2019-02-15,27.8,17.6,21.7,0.1,0.1,1.0,12.7,27.0,160,17.16,3.46,17.1,19.6,18.3
海南_琼中,2019-02-16,28.0,18.4,22.4,0.0,0.0,0.0,11.9,24.1,165,19.72,3.93,17.7,19.4,18.7
海南_琼中,2019-02-17,25.1,19.9,22.2,3.7,3.7,8.0,16.3,42.1,146,14.49,2.69,18.6,22.1,20.1
海南_琼中,2019-02-18,25.7,20.0,22.4,1.9,1.9,8.0,22.4,47.2,183,15.55,2.88,19.1,20.6,19.9
海南_琼中,2019-02-19,27.6,19.9,23.4,0.0,0.0,0.0,17.8,37.1,179,18.92,3.62,19.0,21.4,20.5
海南_琼中,2019-02-20,28.8,18.8,23.1,0.0,0.0,0.0,16.7,34.2,176,20.94,4.15,18.1,20.6,19.7
海南_琼中,2019-02-21,29.5,19.0,23.9,0.1,0.1,1.0,12.0,26.6,186,19.56,3.96,18.6,21.1,20.2
海南_琼中,2019-02-22,27.0,18.6,21.9,1.2,1.2,8.0,14.5,29.5,164,15.57,2.98,18.4,22.5,19.9
海南_琼中,2019-02-23,27.0,20.1,22.9,0.0,0.0,0.0,19.9,40.7,166,16.11,3.27,18.3,20.4,19.4
海南_琼中,2019-02-24,25.5,17.9,20.7,0.8,0.8,8.0,10.4,21.2,34,13.03,2.59,16.0,19.0,17.8
海南_琼中,2019-02-25,24.9,19.2,21.5,1.9,1.9,11.0,10.7,24.8,87,13.15,2.5,18.2,20.8,19.3
海南_琼中,2019-02-26,26.0,19.8,22.3,1.8,1.8,10.0,16.5,36.0,149,16.41,2.95,19.7,22.4,20.6
