station,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,dewpoint_2m_min,dewpoint_2m_max,dewpoint_2m_mean
海南_琼海,2019-01-01,16.5,14.2,15.3,1.0,1.0,5.0,22.0,41.8,358,4.28,1.3,11.8,12.9,12.3
海南_琼海,2019-01-02,17.8,14.0,15.9,3.5,3.5,14.0,20.7,39.6,353,4.35,1.12,12.9,14.4,13.5
海南_琼海,2019-01-03,19.2,15.7,17.3,5.2,5.2,20.0,15.1,29.9,356,4.03,0.91,14.4,17.4,15.7
海南_琼海,2019-01-04,24.5,18.2,21.7,13.0,13.0,22.0,19.1,37.8,62,7.71,1.42,17.4,22.0,20.5
海南_琼海,2019-01-05,25.0,20.9,22.6,2.5,2.5,8.0,16.1,32.4,60,9.55,1.72,20.4,22.9,21.4
海南_琼海,2019-01-06,23.9,20.4,21.7,0.8,0.8,4.0,17.6,35.3,52,8.53,1.64,19.0,20.5,19.9
海南_琼海,2019-01-07,24.7,19.9,22.2,2.1,2.1,12.0,18.0,36.0,70,12.21,2.2,19.4,21.0,20.4
海南_琼海,2019-01-08,24.2,20.8,22.0,2.2,2.2,13.0,22.2,43.9,59,13.12,2.27,19.4,20.9,20.3
海南_琼海,2019-01-09,23.8,20.1,21.7,4.6,4.6,22.0,21.7,43.6,69,10.67,1.93,19.0,20.4,19.8
海南_琼海,2019-01-10,25.2,21.2,22.6,2.8,2.8,15.0,13.0,27.7,81,10.2,1.9,20.3,22.0,21.1
海南_琼海,2019-01-11,25.9,21.5,23.0,2.3,2.3,15.0,12.6,25.6,71,14.05,2.59,21.0,21.6,21.3
海南_琼海,2019-01-12,25.1,20.9,22.4,1.3,1.3,8.0,15.2,31.3,61,13.01,2.36,20.2,21.4,20.8
海南_琼海,2019-01-13,24.8,19.5,21.8,0.2,0.2,2.0,16.4,33.5,50,14.87,2.71,17.9,20.1,19.5
海南_琼海,2019-01-14,24.2,19.8,21.6,1.3,1.3,9.0,18.6,37.4,55,13.4,2.45,18.9,19.9,19.3
海南_琼海,2019-01-15,24.5,19.5,21.3,0.9,0.9,6.0,19.9,39.6,42,14.71,2.68,17.9,19.4,18.7
海南_琼海,2019-01-16,22.0,17.9,19.5,0.8,0.8,7.0,17.8,36.4,14,7.0,1.61,14.9,18.3,16.9
海南_琼海,2019-01-17,20.7,17.2,18.3,0.8,0.8,8.0,18.3,36.7,10,7.34,1.65,14.5,16.2,15.2
海南_琼海,2019-01-18,23.1,17.2,19.5,0.4,0.4,3.0,20.6,41.8,39,13.33,2.51,14.6,17.1,16.1
海南_琼海,2019-01-19,24.0,19.1,21.2,2.1,2.1,12.0,19.7,40.0,51,13.26,2.35,17.5,19.7,19.1
海南_琼海,2019-01-20,24.4,20.4,21.6,3.7,3.7,15.0,16.4,31.7,36,10.34,1.89,19.3,21.5,20.0
海南_琼海,2019-01-21,20.7,17.4,18.8,3.8,3.8,12.0,17.8,33.5,18,6.21,1.4,13.8,19.7,16.2
海南_琼海,2019-01-22,21.0,13.9,17.7,0.0,0.0,0.0,15.8,32.4,8,11.33,2.36,11.1,13.9,13.1
海南_琼海,2019-01-23,21.7,12.4,16.7,0.0,0.0,0.0,13.7,29.9,29,16.73,2.93,10.8,13.9,12.5
海南_琼海,2019-01-24,22.6,13.9,18.1,0.0,0.0,0.0,17.0,35.6,62,15.65,2.79,12.8,15.9,14.4
海南_琼海,2019-01-25,24.3,14.6,19.3,0.1,0.1,1.0,18.8,37.4,36,16.5,2.94,14.2,18.3,16.5
海南_琼海,2019-01-26,23.6,15.7,19.1,0.4,0.4,3.0,20.5,40.7,32,17.03,3.07,14.6,17.1,15.8
海南_琼海,2019-01-27,23.0,17.9,19.8,1.2,1.2,7.0,22.1,44.6,49,11.69,2.45,14.4,17.3,15.8
海南_琼海,2019-01-28,22.1,18.6,20.2,5.5,5.5,22.0,16.3,31.3,58,7.83,1.51,17.6,19.0,18.3
海南_琼海,2019-01-29,24.0,19.0,21.2,0.6,0.6,5.0,19.1,38.5,90,16.13,2.94,17.3,19.3,18.0
海南_琼海,2019-01-30,24.2,17.2,20.9,0.3,0.3,3.0,18.6,37.8,102,15.83,2.92,16.5,19.0,17.8
海南_琼海,2019-01-31,25.5,16.6,20.5,0.6,0.6,2.0,13.5,28.4,34,16.12,2.94,16.6,20.1,18.3
海南_琼海,2019-02-01,23.5,16.6,19.8,0.6,0.6,4.0,20.6,41.8,37,14.64,2.6,16.6,18.6,17.5
海南_琼海,2019-02-02,24.6,18.8,21.4,3.5,3.5,15.0,14.9,31.3,118,14.06,2.58,18.6,20.0,19.3
海南_琼海,2019-02-03,26.9,17.5,21.8,0.3,0.3,3.0,15.0,32.0,167,15.17,2.82,17.5,21.2,19.9
海南_琼海,2019-02-04,25.8,19.7,22.5,3.2,3.2,10.0,10.3,22.0,131,13.34,2.51,19.7,22.0,21.0
海南_琼海,2019-02-05,26.5,20.8,23.0,1.8,1.8,11.0,14.7,29.9,171,14.52,2.75,20.5,21.8,21.1
海南_琼海,2019-02-06,26.6,20.5,23.0,0.1,0.1,1.0,19.7,39.2,177,16.55,3.15,19.5,21.2,20.6
海南_琼海,2019-02-07,28.7,21.4,24.1,0.0,0.0,0.0,18.3,37.8,180,19.85,3.75,20.5,22.7,21.5
海南_琼海,2019-02-08,28.3,22.0,24.4,0.0,0.0,0.0,20.6,41.4,177,18.21,3.59,20.4,22.2,21.5
海南_琼海,2019-02-09,27.4,22.2,24.5,0.0,0.0,0.0,22.1,43.2,166,16.89,3.33,21.0,22.1,21.6
海南_琼海,2019-02-10,26.2,22.0,23.9,0.5,0.5,3.0,18.0,36.4,123,14.46,2.87,19.8,22.2,20.9
海南_琼海,2019-02-11,26.1,20.0,23.1,1.1,1.1,6.0,18.6,38.5,86,18.74,3.51,18.6,21.2,20.1
海南_琼海,2019-02-12,25.0,21.2,22.6,2.2,2.2,8.0,19.4,40.0,84,15.15,2.76,19.6,20.5,20.1
海南_琼海,2019-02-13,25.6,20.7,22.7,2.0,2.0,7.0,15.5,33.5,80,17.5,3.15,19.9,21.0,20.4
海南_琼海,2019-02-14,25.9,19.5,22.5,0.2,0.2,2.0,15.9,33.5,109,16.29,3.08,18.4,20.5,19.7
海南_琼海,2019-02-15,26.4,20.5,23.0,1.1,1.1,6.0,14.5,31.0,129,15.3,2.91,20.0,21.3,20.8
海南_琼海,2019-02-16,27.6,19.9,23.3,0.7,0.7,5.0,15.5,32.4,149,18.15,3.44,19.6,22.0,21.0
海南_琼海,2019-02-17,26.1,22.0,23.9,1.3,1.3,12.0,18.6,41.0,130,16.13,3.16,20.0,21.7,21.2
海南_琼海,2019-02-18,27.4,22.2,24.2,6.5,6.5,11.0,26.5,54.7,175,14.68,2.92,20.8,23.0,21.6
海南_琼海,2019-02-19,29.0,22.8,25.2,0.1,0.1,1.0,22.7,45.0,183,18.87,3.72,21.9,23.0,22.5
海南_琼海,2019-02-20,28.8,22.6,25.1,0.1,0.1,1.0,21.1,42.5,175,18.82,3.72,21.9,23.2,22.4
海南_琼海,2019-02-21,29.0,23.1,25.5,0.0,0.0,0.0,20.3,41.0,178,19.34,3.95,21.2,23.4,22.2
海南_琼海,2019-02-22,26.6,20.9,23.8,1.6,1.6,9.0,15.1,33.1,141,15.0,2.91,20.3,22.8,21.3
海南_琼海,2019-02-23,27.6,22.5,24.6,0.2,0.2,2.0,24.3,49.0,163,14.91,3.35,18.8,21.9,20.7
海南_琼海,2019-02-24,24.6,18.9,21.5,0.0,0.0,0.0,17.2,33.5,19,11.58,2.38,17.0,20.0,18.4
海南_琼海,2019-02-25,24.3,20.3,22.2,11.6,11.6,17.0,20.9,42.1,59,8.28,1.58,18.5,21.5,20.5
海南_琼海,2019-02-26,26.0,21.0,23.3,1.7,1.7,11.0,20.1,40.3,140,14.44,2.7,20.6,22.5,21.4
海南_琼海,2019-02-27,26.6,19.6,23.0,0.0,0.0,0.0,13.5,29.9,142,17.02,3.26,19.6,21.7,20.7
海南_琼海,2019-02-28,27.3,20.6,23.4,0.8,0.8,4.0,13.4,29.5,137,18.45,3.5,20.4,22.0,21.2
海南_琼海,2019-03-01,26.4,21.8,23.7,1.3,1.3,8.0,17.0,35.6,141,15.63,3.03,20.7,22.1,21.4
海南_琼海,2019-03-02,28.0,21.9,24.5,0.9,0.9,4.0,22.4,43.9,174,15.59,3.3,20.8,22.4,21.6
海南_琼海,2019-03-03,29.8,22.4,25.1,0.6,0.6,3.0,15.3,30.6,187,16.74,3.53,20.7,22.3,21.4
海南_琼海,2019-03-04,27.4,21.5,24.5,1.2,1.2,7.0,23.0,46.8,160,17.08,3.46,21.2,22.6,21.7
海南_琼海,2019-03-05,29.2,23.2,25.4,0.2,0.2,2.0,26.6,52.2,179,17.12,4.09,19.7,22.1,20.9
海南_琼海,2019-03-06,30.0,22.7,25.6,0.3,0.3,1.0,20.3,40.7,190,18.07,3.82,22.0,23.3,22.5
海南_琼海,2019-03-07,26.4,21.5,23.9,5.6,5.6,16.0,12.2,30.2,74,10.25,2.06,21.5,23.1,22.4
海南_琼海,2019-03-08,27.9,22.9,24.7,2.5,2.5,12.0,20.4,40.7,140,15.82,3.16,21.7,22.9,22.3
海南_琼海,2019-03-09,31.2,22.6,25.9,0.1,0.1,1.0,22.7,43.6,197,16.98,3.74,21.8,23.9,22.7
海南_琼海,2019-03-10,26.6,20.6,22.9,8.2,8.2,15.0,15.1,32.4,14,7.41,1.61,19.2,22.9,21.0
海南_琼海,2019-03-11,24.6,20.4,22.0,1.4,1.4,11.0,11.8,24.5,28,9.0,1.91,18.2,20.6,19.7
海南_琼海,2019-03-12,26.1,19.4,22.6,1.1,1.1,6.0,15.6,32.4,69,15.7,3.03,18.1,21.2,19.7
海南_琼海,2019-03-13,26.8,22.2,24.0,3.2,3.2,17.0,16.9,33.1,108,15.21,2.9,21.3,23.1,22.0
海南_琼海,2019-03-14,28.0,22.4,24.4,18.0,18.0,21.0,15.6,29.5,107,16.09,3.07,22.1,24.6,23.0
海南_琼海,2019-03-15,24.9,21.0,22.8,2.7,2.7,10.0,22.7,45.4,43,12.81,2.42,18.7,22.1,20.8
海南_琼海,2019-03-16,26.0,20.9,22.8,1.1,1.1,10.0,19.0,39.2,65,14.73,2.96,19.1,20.5,19.8
海南_琼海,2019-03-17,26.2,20.6,23.2,1.1,1.1,6.0,16.9,34.6,96,16.14,3.05,20.0,22.1,21.1
海南_琼海,2019-03-18,27.0,21.8,24.0,1.9,1.9,10.0,12.1,27.0,115,16.76,3.19,21.6,22.7,22.1
海南_琼海,2019-03-19,27.2,22.5,24.5,1.7,1.7,9.0,18.1,37.1,143,17.25,3.28,22.1,23.0,22.5
海南_琼海,2019-03-20,28.9,22.3,25.0,0.0,0.0,0.0,19.8,40.0,174,22.67,4.28,21.9,23.0,22.6
海南_琼海,2019-03-21,29.8,22.8,25.8,0.0,0.0,0.0,23.6,44.6,186,22.76,4.62,21.7,23.1,22.5
海南_琼海,2019-03-22,30.8,23.4,26.4,0.0,0.0,0.0,22.1,42.1,183,21.9,4.45,22.1,24.3,23.4
海南_琼海,2019-03-23,28.7,23.5,25.8,2.9,2.9,10.0,17.4,34.9,144,16.36,3.22,22.9,24.6,23.7
海南_琼海,2019-03-24,26.4,22.5,24.0,7.7,7.7,23.0,15.8,32.0,82,13.45,2.56,21.5,23.0,22.4
海南_琼海,2019-03-25,27.2,21.5,24.1,2.5,2.5,9.0,10.4,23.8,56,17.05,3.33,21.5,22.9,22.1
海南_琼海,2019-03-26,27.6,22.4,24.6,1.5,1.5,9.0,16.9,33.8,104,17.79,3.41,22.2,23.1,22.6
海南_琼海,2019-03-27,27.5,22.0,24.8,1.2,1.2,9.0,16.3,34.6,128,18.5,3.57,21.5,23.1,22.4
海南_琼海,2019-03-28,29.5,21.0,24.8,0.0,0.0,0.0,17.1,35.6,178,20.98,4.26,20.9,23.0,21.7
海南_琼海,2019-03-29,30.9,23.4,26.1,5.2,5.2,5.0,18.4,36.0,192,18.12,3.81,22.4,24.5,23.2
海南_琼海,2019-03-30,30.2,23.4,26.1,5.4,5.4,8.0,13.5,29.5,163,17.06,3.42,23.2,25.3,24.2
