station,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,dewpoint_2m_min,dewpoint_2m_max,dewpoint_2m_mean
海南_白沙,2019-01-01,13.1,10.9,12.0,3.7,3.7,19.0,11.8,27.7,58,3.84,0.71,10.1,11.4,10.6
海南_白沙,2019-01-02,13.4,10.9,12.2,2.7,2.7,11.0,11.5,26.3,63,4.24,0.76,10.1,11.9,11.0
海南_白沙,2019-01-03,16.8,13.1,15.0,1.3,1.3,13.0,13.2,30.2,76,4.2,0.77,12.1,15.1,14.0
海南_白沙,2019-01-04,22.2,15.4,18.5,0.8,0.8,8.0,11.5,25.9,88,6.97,1.27,14.9,20.0,17.6
海南_白沙,2019-01-05,23.2,17.4,20.3,2.4,2.4,11.0,13.1,28.4,93,6.87,1.26,17.2,22.6,19.4
海南_白沙,2019-01-06,23.0,18.8,20.4,3.5,3.5,14.0,14.7,31.7,72,7.82,1.46,18.2,19.8,19.3
海南_白沙,2019-01-07,25.5,16.5,20.6,0.0,0.0,0.0,13.9,31.7,95,14.69,2.74,16.0,19.8,18.2
海南_白沙,2019-01-08,25.2,16.8,20.4,0.0,0.0,0.0,18.7,40.3,101,13.82,2.66,16.4,19.0,17.8
海南_白沙,2019-01-09,25.1,18.6,20.7,0.5,0.5,4.0,20.6,45.7,94,13.61,2.57,17.7,18.7,18.3
海南_白沙,2019-01-10,26.5,17.7,21.8,2.0,2.0,7.0,9.9,22.7,120,14.05,2.74,17.5,19.7,18.9
海南_白沙,2019-01-11,25.8,16.6,20.9,0.8,0.8,5.0,10.4,23.0,218,15.11,2.8,16.5,20.7,18.4
海南_白沙,2019-01-12,25.9,18.7,21.7,0.3,0.3,3.0,10.3,24.8,281,13.9,2.67,17.6,19.7,19.0
海南_白沙,2019-01-13,24.2,16.3,20.1,0.0,0.0,0.0,15.2,34.9,94,14.71,2.67,16.1,18.6,17.6
海南_白沙,2019-01-14,24.8,18.9,21.1,0.0,0.0,0.0,16.8,37.1,90,14.58,2.83,17.0,18.1,17.4
海南_白沙,2019-01-15,23.4,17.8,20.2,0.2,0.2,2.0,16.0,35.6,76,12.74,2.45,16.3,17.9,17.3
海南_白沙,2019-01-16,18.8,15.4,17.5,3.5,3.5,18.0,16.1,35.3,65,5.19,1.0,13.9,17.1,16.1
海南_白沙,2019-01-17,17.8,14.5,15.7,1.8,1.8,13.0,16.3,36.0,68,5.45,1.07,13.2,14.4,13.8
海南_白沙,2019-01-18,21.4,14.8,17.2,0.2,0.2,1.0,16.3,34.9,92,7.99,1.63,13.2,15.9,14.4
海南_白沙,2019-01-19,24.5,13.7,19.2,0.3,0.3,3.0,13.2,30.2,97,14.49,2.73,12.9,18.1,16.1
海南_白沙,2019-01-20,23.1,16.3,19.7,1.3,1.3,9.0,14.3,34.6,81,12.54,2.2,15.9,20.2,18.0
海南_白沙,2019-01-21,18.6,14.9,17.2,5.0,5.0,17.0,18.8,41.4,57,7.15,1.28,12.5,18.2,15.7
海南_白沙,2019-01-22,18.8,13.6,15.5,0.3,0.3,3.0,12.8,29.9,65,9.45,1.68,11.3,13.1,12.4
海南_白沙,2019-01-23,20.6,10.9,15.8,0.0,0.0,0.0,9.4,24.5,99,15.05,2.56,10.1,14.4,12.3
海南_白沙,2019-01-24,22.5,12.6,17.9,0.1,0.1,1.0,11.1,24.8,117,14.78,2.69,12.6,16.2,14.5
海南_白沙,2019-01-25,23.2,12.6,18.3,0.0,0.0,0.0,12.9,29.9,85,18.04,3.18,12.3,15.9,14.5
海南_白沙,2019-01-26,21.9,13.1,17.4,0.0,0.0,0.0,16.9,38.5,89,17.29,3.05,10.1,15.1,13.2
